code;name;side;city;type;x;y
041_AA;041_ул 40 лет Победы/  Т. Барамзиной, 8, цифровой билборд;АА;Ижевск;Цифровой билборд;56.862822;53.278123
041_B;041_ул 40 лет Победы/  Т. Барамзиной, 8;Б;Ижевск;Билборд;56.862822;53.278123
042_A;"042_ул Воткинское шоссе,118, ЦРК ""Русский Дом""";А;Ижевск;Билборд;56.888028;53.243246
042_B;"042_ул Воткинское шоссе,118, ЦРК ""Русский Дом""";Б;Ижевск;Билборд;56.888028;53.243246
043_A;043_ул 9 Января, напротив д.161;А;Ижевск;Билборд;56.873435;53.257728
043_B;043_ул 9 Января, напротив д.161;Б;Ижевск;Билборд;56.873435;53.257728
044_A;044_ул Гагарина, напротив д. 27 (площадь ж/д вокзала), призматрон;А3, A5, A7;Ижевск;Призматрон;56.801923;53.187353
044_A1;044_ул Гагарина, напротив д. 27 (площадь ж/д вокзала);А1;Ижевск;Билборд;56.801923;53.187353
044_A2;044_ул Гагарина, напротив д. 27 (площадь ж/д вокзала);А2;Ижевск;Билборд;56.801923;53.187353
045_A1;"045_ул 10 лет Октября, 48 (АЗС ""Башнефть"")";А1;Ижевск;Билборд;56.869521;53.27119
045_A2;"045_ул 10 лет Октября, 48 (АЗС ""Башнефть"")";А2;Ижевск;Билборд;56.869521;53.27119
046_A;046_ул 50 лет ВЛКСМ, со стороны ул К. Маркса, 455 (ЖК «Вега»), призматрон;А1, А2, А3;Ижевск;Призматрон;56.87668;53.200115
046_B;046_ул 50 лет ВЛКСМ, со стороны ул К. Маркса, 455 (ЖК «Вега»);Б;Ижевск;Билборд;56.87668;53.200115
047_A;047_ул Карла Маркса, напротив д.55А (автосалон «BMW»);А;Ижевск;Билборд;56.828884;53.207274
047_B;047_ул Карла Маркса, напротив д.55А (автосалон «BMW»);Б;Ижевск;Билборд;56.828884;53.207274
048_A;048_ул К.Либкнехта/Удмуртская, 202;А;Ижевск;Билборд;56.83843;53.230662
048_B;048_ул К.Либкнехта/Удмуртская, 202;Б;Ижевск;Билборд;56.83843;53.230662
049_A;049_ул 40 лет Победы, пересечение с ул. Т. Барамзиной,6, №2;А;Ижевск;Билборд;56.866185;53.277174
049_B;049_ул 40 лет Победы, пересечение с ул. Т. Барамзиной,6, №2;Б;Ижевск;Билборд;56.866185;53.277174
050_A;"050_ул Воткинское Шоссе, напротив д.178А (ГМ ""Три Банана"")";А;Ижевск;Билборд;56.899347;53.307874
050_B;"050_ул Воткинское Шоссе, напротив д.178А (ГМ ""Три Банана"")";Б;Ижевск;Билборд;56.899347;53.307874
051_A2;051_ул  Молодежная, 107а, ГП Магнит, СЦ Азбука ремонта;А2;Ижевск;Билборд;56.852681;53.292515
051_AA;051_ул  Молодежная, 107а, ГП Магнит, СЦ Азбука ремонта, цифровой билборд;АА;Ижевск;Цифровой билборд;56.852681;53.292515
052_A;052_ул Удмуртская, 253Б, призматрон;А1, А2, А3;Ижевск;Призматрон;56.859844;53.22068
052_B;052_ул Удмуртская, 253Б;Б;Ижевск;Билборд;56.859844;53.22068
053_A;053_ул 10 лет Октября, 48, АЗС Башнефть;А;Ижевск;Билборд;56.869599;53.269163
053_B;053_ул 10 лет Октября, 48, АЗС Башнефть;Б;Ижевск;Билборд;56.869599;53.269163
054_A;054_ул Воткинское шоссе поворот на п.Смирново;А;Ижевск;Билборд;56.912126;53.378924
054_B;054_ул Воткинское шоссе поворот на п.Смирново;Б;Ижевск;Билборд;56.912126;53.378924
055_A;055_ул Автозаводская/ Ворошилова/ Петрова, автокольцо;А;Ижевск;Билборд;56.875279;53.283301
056_A;056_Копровый проезд, поворот на мкрн. Старки;А;Ижевск;Билборд;56.892419;53.308427
056_B;056_Копровый проезд, поворот на мкрн. Старки;Б;Ижевск;Билборд;56.892419;53.308427
057_A;057_ул Союзная, 6, ГП METRO;А;Ижевск;Билборд;56.846443;53.304208
057_B;057_ул Союзная, 6, ГП METRO;Б;Ижевск;Билборд;56.846443;53.304208
058_A;058_автокольцо ул Удмуртская/ К. Либкнехта, 51 Б, призматрон;А1, А2, А3;Ижевск;Призматрон;56.838599;53.229818
059_A2;059_ул Пушкинская, 367а / 10 лет Октября;А2;Ижевск;Билборд;56.871738;53.207814
059_AA;059_ул Пушкинская, 367а / 10 лет Октября, цифровой билборд;АА;Ижевск;Цифровой билборд;56.871738;53.207814
060_A;060_ул Ленина, 112, разделительная полоса, призматрон;А1, А2, А3;Ижевск;Призматрон;56.849057;53.265996
060_AA;060_ул Ленина, 112, разделительная полоса, цифровой билборд;АА;Ижевск;Цифровой билборд;56.849057;53.265996
061_A;061_ул Пушкинская, 116;А;Ижевск;Билборд;56.833775;53.21785
061_B;061_ул Пушкинская, 116;Б;Ижевск;Билборд;56.833775;53.21785
062_A;062_ул Удмуртская, напротив д.153, АЗС Лукойл, ЖК Ниагара;А;Ижевск;Билборд;56.834906;53.227831
062_B;062_ул Удмуртская, напротив д.153, АЗС Лукойл, ЖК Ниагара;Б;Ижевск;Билборд;56.834906;53.227831
063_A;063_ул 10 лет Октября, 46а;А;Ижевск;Билборд;56.869741;53.267853
063_B;063_ул 10 лет Октября, 46а;Б;Ижевск;Билборд;56.869741;53.267853
064_A;064_ул Ворошилова, напротив д.109/ Автозаводской проезд;А;Ижевск;Билборд;56.875751;53.278049
065_A;065_ул Карла Маркса, напротив д.1Б/Магистральная, АЗС Башнефть;А;Ижевск;Билборд;56.819608;53.208577
065_B;065_ул Карла Маркса, напротив д.1Б/Магистральная, АЗС Башнефть;Б;Ижевск;Билборд;56.819608;53.208577
066_A;"066_ул Славянское шоссе, напротив д.1 (ресторан ""Шале"")";А;Ижевск;Билборд;56.922287;53.228275
066_B;"066_ул Славянское шоссе, напротив д.1 (ресторан ""Шале"")";Б;Ижевск;Билборд;56.922287;53.228275
