code;name;side;city;type;x;y
450_B;450_Завьяловский тракт_АЗС №8;Б;Ижевск;Билборд;56.8220498884;53.3586337857
451_A;451_Завьяловский тракт_поворот на с/о Родник;А;Ижевск;Билборд;56.8203753211;53.3596432692
451_B;451_Завьяловский тракт_поворот на с/о Родник;Б;Ижевск;Билборд;56.8203753211;53.3596432692
466_A;466_CB_ул Кирова/ ул Пушкинская, 268_сити-борд_2,7х3,7;А;Ижевск;Ситиборд;56.86113;53.210116
466_B;466_CB_ул Кирова/ ул Пушкинская, 268_сити-борд_2,7х3,7;Б;Ижевск;Ситиборд;56.86113;53.210116
G_01_A1;Глазов_01-G_ул_Короленко/Чепецкая/Т.Барамзина, д2_ДК_Родник;А1;Глазов;Билборд;58.144673;52.666192
G_01_A2;Глазов_01-G_ул_Короленко/Чепецкая/Т.Барамзина, д2_ДК_Родник;А2;Глазов;Билборд;58.144673;52.666192
G_01_A3;Глазов_01-G_ул_Короленко/Чепецкая/Т.Барамзина, д2_ДК_Родник;А3;Глазов;Билборд;58.144673;52.666192
G_02_A;Глазов_02-G_ул_К_Маркса, напротив д.2 рядом со Сбербанком;А;Глазов;Билборд;58.141044;52.686559
G_02_B;Глазов_02-G_ул_К_Маркса, напротив д.2 рядом со Сбербанком;Б;Глазов;Билборд;58.141044;52.686559
G_03_A;Глазов_03-G_ул_Сибирская,99_Ижторгметалл;А;Глазов;Билборд;58.126947;52.700905
G_03_B;Глазов_03-G_ул_Сибирская,99_Ижторгметалл;Б;Глазов;Билборд;58.126947;52.700905
G_05_A;Глазов_05-G_ул_Пехтина_напротив д_12_остановка_ул_Пехтина;А;Глазов;Билборд;58.1381731075;52.6972482941
G_05_B;Глазов_05-G_ул_Пехтина_напротив д_12_остановка_ул_Пехтина;Б;Глазов;Билборд;58.1381731075;52.6972482941
G_06_A;Глазов_06-G_ул_Пехтина_напротив д_10_АЗС_Левобережная;А;Глазов;Билборд;58.1389193836;52.6972466691
G_06_B;Глазов_06-G_ул_Пехтина_напротив д_10_АЗС_Левобережная;Б;Глазов;Билборд;58.1389193836;52.6972466691
G_07_A1;Глазов_07-G_ул_Пехтина/Калинина;А1;Глазов;Билборд;58.1405938665;52.6978020961
G_07_A2;Глазов_07-G_ул_Пехтина/Калинина;А2;Глазов;Билборд;58.1405938665;52.6978020961
G_08_A1;Глазов_08-G_ул_Сибирская/Буденного_ост_Мебельная фабрика;А1;Глазов;Билборд;58.1333029823;52.6812534153
G_08_A2;Глазов_08-G_ул_Сибирская/Буденного_ост_Мебельная фабрика;А2;Глазов;Билборд;58.1333029823;52.6812534153
G_08_A3;Глазов_08-G_ул_Сибирская/Буденного_ост_Мебельная фабрика;А3;Глазов;Билборд;58.1333029823;52.6812534153
G_09_A;Глазов_09-G_ул_Чепецкая, напротив д. 3;А;Глазов;Билборд;58.126907836913;52.707742603739
G_09_B;Глазов_09-G_ул_Чепецкая, напротив д. 3;B;Глазов;Билборд;58.126907836913;52.707742603739
S_01_A;Сарапул_01-S_ул_Гончарова_напротив_д61;А;Сарапул;Билборд;56.438008288397;53.737759107796
S_01_B;Сарапул_01-S_ул_Гончарова_напротив_д61;Б;Сарапул;Билборд;56.438008288397;53.737759107796
S_02_A;Сарапул_02-S_ул_Трактовая_21;А;Сарапул;Билборд;56.498323758653;53.795566
S_02_B;Сарапул_02-S_ул_Трактовая_21;Б;Сарапул;Билборд;56.498323758653;53.795566
